' '         = 00
MUS_INTRO_FIGHT = E9 01
MUS_TITLE = EA 01
MUS_CINNABAR = EB 01
MUS_LAVENDER = EC 01
MUS_HEAL_UNUSED = ED 01
MUS_CYCLING = EE 01
MUS_ENCOUNTER_ROCKET = EF 01
MUS_ENCOUNTER_GIRL = F0 01
MUS_ENCOUNTER_BOY = F1 01
MUS_HALL_OF_FAME = F2 01
MUS_VIRIDIAN_FOREST = F3 01
MUS_MT_MOON = F4 01
MUS_POKE_MANSION = F5 01
MUS_CREDITS = F6 01
MUS_ROUTE1 = F7 01
MUS_ROUTE24 = F8 01
MUS_ROUTE3 = F9 01
MUS_ROUTE11 = FA 01
MUS_VICTORY_ROAD = FB 01
MUS_VS_GYM_LEADER = FC 01
MUS_VS_TRAINER = FD 01
MUS_VS_WILD = FE 01
MUS_VS_CHAMPION = FF 01
MUS_PALLET = 00 02
MUS_OAK_LAB = 01 02
MUS_OAK = 02 02
MUS_POKE_CENTER = 03 02
MUS_SS_ANNE = 04 02
MUS_SURF = 05 02
MUS_POKE_TOWER = 06 02
MUS_SILPH = 07 02
MUS_FUCHSIA = 08 02
MUS_CELADON = 09 02
MUS_VICTORY_TRAINER = 0A 02
MUS_VICTORY_WILD = 0B 02
MUS_VICTORY_GYM_LEADER = 0C 02
MUS_VERMILLION = 0D 02
MUS_PEWTER = 0E 02
MUS_ENCOUNTER_RIVAL = 0F 02
MUS_RIVAL_EXIT = 10 02
MUS_DEX_RATING = 11 02
MUS_OBTAIN_KEY_ITEM = 12 02
MUS_CAUGHT_INTRO = 13 02
MUS_PHOTO = 14 02
MUS_GAME_FREAK = 15 02
MUS_CAUGHT = 16 02
MUS_NEW_GAME_INSTRUCT = 17 02
MUS_NEW_GAME_INTRO = 18 02
MUS_NEW_GAME_EXIT = 19 02
MUS_POKE_JUMP = 1A 02
MUS_UNION_ROOM = 1B 02
MUS_NET_CENTER = 1C 02
MUS_MYSTERY_GIFT = 1D 02
MUS_BERRY_PICK = 1E 02
MUS_SEVII_CAVE = 1F 02
MUS_TEACHY_TV_SHOW = 20 02
MUS_SEVII_ROUTE = 21 02
MUS_SEVII_DUNGEON = 22 02
MUS_SEVII_123 = 23 02
MUS_SEVII_45 = 24 02
MUS_SEVII_67 = 25 02
MUS_POKE_FLUTE = 26 02
MUS_VS_DEOXYS = 27 02
MUS_VS_MEWTWO = 28 02
MUS_VS_LEGEND = 29 02
MUS_ENCOUNTER_GYM_LEADER = 2A 02
MUS_ENCOUNTER_DEOXYS = 2B 02
MUS_TRAINER_TOWER = 2C 02
MUS_SLOW_PALLET = 2D 02
MUS_TEACHY_TV_MENU = 2E 02

MUS_DP_TWINLEAF_DAY             = 5B 01
MUS_DP_SANDGEM_DAY              = 5C 01
MUS_DP_FLOAROMA_DAY             = 5D 01
MUS_DP_SOLACEON_DAY             = 5E 01
MUS_DP_ROUTE225_DAY             = 5F 01
MUS_DP_VALOR_LAKEFRONT_DAY      = 60 01
MUS_DP_JUBILIFE_DAY             = 61 01
MUS_DP_CANALAVE_DAY             = 62 01
MUS_DP_OREBURGH_DAY             = 63 01
MUS_DP_ETERNA_DAY               = 64 01
MUS_DP_HEARTHOME_DAY            = 65 01
MUS_DP_VEILSTONE_DAY            = 66 01
MUS_DP_SUNYSHORE_DAY            = 67 01
MUS_DP_SNOWPOINT_DAY            = 68 01
MUS_DP_POKEMON_LEAGUE_DAY       = 69 01
MUS_DP_FIGHT_AREA_DAY           = 6A 01
MUS_DP_ROUTE201_DAY             = 6B 01
MUS_DP_ROUTE203_DAY             = 6C 01
MUS_DP_ROUTE205_DAY             = 6D 01
MUS_DP_ROUTE206_DAY             = 6E 01
MUS_DP_ROUTE209_DAY             = 6F 01
MUS_DP_ROUTE210_DAY             = 70 01
MUS_DP_ROUTE216_DAY             = 71 01
MUS_DP_ROUTE228_DAY             = 72 01
MUS_DP_ROWAN                    = 73 01
MUS_DP_TV_BROADCAST             = 74 01
MUS_DP_TWINLEAF_NIGHT           = 75 01
MUS_DP_SANDGEM_NIGHT            = 76 01
MUS_DP_FLOAROMA_NIGHT           = 77 01
MUS_DP_SOLACEON_NIGHT           = 78 01
MUS_DP_ROUTE225_NIGHT           = 79 01
MUS_DP_VALOR_LAKEFRONT_NIGHT    = 7A 01
MUS_DP_JUBILIFE_NIGHT           = 7B 01
MUS_DP_CANALAVE_NIGHT           = 7C 01
MUS_DP_OREBURGH_NIGHT           = 7D 01
MUS_DP_ETERNA_NIGHT             = 7E 01
MUS_DP_HEARTHOME_NIGHT          = 7F 01
MUS_DP_VEILSTONE_NIGHT          = 80 01
MUS_DP_SUNYSHORE_NIGHT          = 81 01
MUS_DP_SNOWPOINT_NIGHT          = 82 01
MUS_DP_POKEMON_LEAGUE_NIGHT     = 83 01
MUS_DP_FIGHT_AREA_NIGHT         = 84 01
MUS_DP_ROUTE201_NIGHT           = 85 01
MUS_DP_ROUTE203_NIGHT           = 86 01
MUS_DP_ROUTE205_NIGHT           = 87 01
MUS_DP_ROUTE206_NIGHT           = 88 01
MUS_DP_ROUTE209_NIGHT           = 89 01
MUS_DP_ROUTE210_NIGHT           = 8A 01
MUS_DP_ROUTE216_NIGHT           = 8B 01
MUS_DP_ROUTE228_NIGHT           = 8C 01
MUS_DP_UNDERGROUND              = 8D 01
MUS_DP_FLAG_CAPTURED            = 8E 01
MUS_DP_VICTORY_ROAD             = 8F 01
MUS_DP_ETERNA_FOREST            = 90 01
MUS_DP_OLD_CHATEAU              = 91 01
MUS_DP_LAKE_CAVERNS             = 92 01
MUS_DP_AMITY_SQUARE             = 93 01
MUS_DP_GALACTIC_HQ              = 94 01
MUS_DP_GALACTIC_ETERNA_BUILDING = 95 01
MUS_DP_GREAT_MARSH              = 96 01
MUS_DP_LAKE                     = 97 01
MUS_DP_MT_CORONET               = 98 01
MUS_DP_SPEAR_PILLAR             = 99 01
MUS_DP_STARK_MOUNTAIN           = 9A 01
MUS_DP_OREBURGH_GATE            = 9B 01
MUS_DP_OREBURGH_MINE            = 9C 01
MUS_DP_INSIDE_POKEMON_LEAGUE    = 9D 01
MUS_DP_HALL_OF_FAME_ROOM        = 9E 01
MUS_DP_POKE_CENTER_DAY          = 9F 01
MUS_DP_POKE_CENTER_NIGHT        = A0 01
MUS_DP_GYM                      = A1 01
MUS_DP_ROWAN_LAB                = A2 01
MUS_DP_CONTEST_LOBBY            = A3 01
MUS_DP_POKE_MART                = A4 01
MUS_DP_GAME_CORNER              = A5 01
MUS_DP_B_TOWER                  = A6 01
MUS_DP_TV_STATION               = A7 01
MUS_DP_GALACTIC_HQ_BASEMENT     = A8 01
MUS_DP_AZURE_FLUTE              = A9 01
MUS_DP_HALL_OF_ORIGIN           = AA 01
MUS_DP_GTS                      = AB 01
MUS_DP_ENCOUNTER_BOY            = AC 01
MUS_DP_ENCOUNTER_TWINS          = AD 01
MUS_DP_ENCOUNTER_INTENSE        = AE 01
MUS_DP_ENCOUNTER_GALACTIC       = AF 01
MUS_DP_ENCOUNTER_LADY           = B0 01
MUS_DP_ENCOUNTER_HIKER          = B1 01
MUS_DP_ENCOUNTER_RICH           = B2 01
MUS_DP_ENCOUNTER_SAILOR         = B3 01
MUS_DP_ENCOUNTER_SUSPICIOUS     = B4 01
MUS_DP_ENCOUNTER_ACE_TRAINER    = B5 01
MUS_DP_ENCOUNTER_GIRL           = B6 01
MUS_DP_ENCOUNTER_CYCLIST        = B7 01
MUS_DP_ENCOUNTER_ARTIST         = B8 01
MUS_DP_ENCOUNTER_ELITE_FOUR     = B9 01
MUS_DP_ENCOUNTER_CHAMPION       = BA 01
MUS_DP_VS_WILD                  = BB 01
MUS_DP_VS_GYM_LEADER            = BC 01
MUS_DP_VS_UXIE_MESPRIT_AZELF    = BD 01
MUS_DP_VS_TRAINER               = BE 01
MUS_DP_VS_GALACTIC_BOSS         = BF 01
MUS_DP_VS_DIALGA_PALKIA         = C0 01
MUS_DP_VS_CHAMPION              = C1 01
MUS_DP_VS_GALACTIC              = C2 01
MUS_DP_VS_RIVAL                 = C3 01
MUS_DP_VS_ARCEUS                = C4 01
MUS_DP_VS_LEGEND                = C5 01
MUS_DP_VICTORY_WILD             = C6 01
MUS_DP_VICTORY_TRAINER          = C7 01
MUS_DP_VICTORY_GYM_LEADER       = C8 01
MUS_DP_VICTORY_CHAMPION         = C9 01
MUS_DP_VICTORY_GALACTIC         = CA 01
MUS_DP_VICTORY_ELITE_FOUR       = CB 01
MUS_DP_VS_GALACTIC_COMMANDER    = CC 01
MUS_DP_CONTEST                  = CD 01
MUS_DP_VS_ELITE_FOUR            = CE 01
MUS_DP_FOLLOW_ME                = CF 01
MUS_DP_RIVAL                    = D0 01
MUS_DP_LAKE_EVENT               = D1 01
MUS_DP_EVOLUTION                = D2 01
MUS_DP_LUCAS                    = D3 01
MUS_DP_DAWN                     = D4 01
MUS_DP_LEGEND_APPEARS           = D5 01
MUS_DP_CATASTROPHE              = D6 01
MUS_DP_POKE_RADAR               = D7 01
MUS_DP_SURF                     = D8 01
MUS_DP_CYCLING                  = D9 01
MUS_DP_LETS_GO_TOGETHER         = DA 01
MUS_DP_TV_END                   = DB 01
MUS_DP_LEVEL_UP                 = DC 01
MUS_DP_EVOLVED                  = DD 01
MUS_DP_OBTAIN_KEY_ITEM          = DE 01
MUS_DP_OBTAIN_ITEM              = DF 01
MUS_DP_CAUGHT_INTRO             = E0 01
MUS_DP_DEX_RATING               = E1 01
MUS_DP_OBTAIN_BADGE             = E2 01
MUS_DP_POKETCH                  = E3 01
MUS_DP_OBTAIN_TMHM              = E4 01
MUS_DP_OBTAIN_ACCESSORY         = E5 01
MUS_DP_MOVE_DELETED             = E6 01
MUS_DP_HEAL                     = E7 01
MUS_DP_OBTAIN_BERRY             = E8 01
MUS_DP_CONTEST_DRESS_UP         = E9 01
MUS_DP_HALL_OF_FAME             = EA 01
MUS_DP_INTRO                    = EB 01
MUS_DP_TITLE                    = EC 01
MUS_DP_MYSTERY_GIFT             = ED 01
MUS_DP_WFC                      = EE 01
MUS_DP_DANCE_EASY               = EF 01
MUS_DP_DANCE_DIFFICULT          = F0 01
MUS_DP_CONTEST_RESULTS          = F1 01
MUS_DP_CONTEST_WINNER           = F2 01
MUS_DP_POFFINS                  = F3 01
MUS_DP_SLOTS_WIN                = F4 01
MUS_DP_SLOTS_JACKPOT            = F5 01
MUS_DP_CREDITS                  = F6 01
MUS_DP_SLOTS_UNUSED             = F7 01
MUS_PL_FIGHT_AREA_DAY           = F8 01
MUS_PL_TV_BROADCAST             = F9 01
MUS_PL_TV_END                   = FA 01
MUS_PL_INTRO                    = FB 01
MUS_PL_TITLE                    = FC 01
MUS_PL_DISTORTION_WORLD         = FD 01
MUS_PL_B_ARCADE                 = FE 01
MUS_PL_B_HALL                   = FF 01
MUS_PL_B_CASTLE                 = 00 02
MUS_PL_B_FACTORY                = 01 02
MUS_PL_GLOBAL_TERMINAL          = 02 02
MUS_PL_LILYCOVE_BOSSA_NOVA      = 03 02
MUS_PL_LOOKER                   = 04 02
MUS_PL_VS_GIRATINA              = 05 02
MUS_PL_VS_FRONTIER_BRAIN        = 06 02
MUS_PL_VICTORY_FRONTIER_BRAIN   = 07 02
MUS_PL_VS_REGI                  = 08 02
MUS_PL_CONTEST_COOL             = 09 02
MUS_PL_CONTEST_SMART            = 0A 02
MUS_PL_CONTEST_CUTE             = 0B 02
MUS_PL_CONTEST_TOUGH            = 0C 02
MUS_PL_CONTEST_BEAUTY           = 0D 02
MUS_PL_SPIN_TRADE               = 0E 02
MUS_PL_WIFI_MINIGAMES           = 0F 02
MUS_PL_WIFI_PLAZA               = 10 02
MUS_PL_WIFI_PARADE              = 11 02
MUS_PL_GIRATINA_APPEARS_1       = 12 02
MUS_PL_GIRATINA_APPEARS_2       = 13 02
MUS_PL_MYSTERY_GIFT             = 14 02
MUS_PL_TWINLEAF_MUSIC_BOX       = 15 02
MUS_PL_OBTAIN_ARCADE_POINTS     = 16 02
MUS_PL_OBTAIN_CASTLE_POINTS     = 17 02
MUS_PL_OBTAIN_B_POINTS          = 18 02
MUS_PL_WIN_MINIGAME             = 19 02
MUS_HG_INTRO                    = 1A 02
MUS_HG_TITLE                    = 1B 02
MUS_HG_NEW_GAME                 = 1C 02
MUS_HG_EVOLUTION                = 1D 02
MUS_HG_EVOLUTION_NO_INTRO       = 1E 02
MUS_HG_CYCLING                  = 1F 02
MUS_HG_SURF                     = 20 02
MUS_HG_E_DENDOURIRI             = 21 02
MUS_HG_CREDITS                  = 22 02
MUS_HG_END                      = 23 02
MUS_HG_NEW_BARK                 = 24 02
MUS_HG_CHERRYGROVE              = 25 02
MUS_HG_VIOLET                   = 26 02
MUS_HG_AZALEA                   = 27 02
MUS_HG_GOLDENROD                = 28 02
MUS_HG_ECRUTEAK                 = 29 02
MUS_HG_CIANWOOD                 = 2A 02
MUS_HG_ROUTE29                  = 2B 02
MUS_HG_ROUTE30                  = 2C 02
MUS_HG_ROUTE34                  = 2D 02
MUS_HG_ROUTE38                  = 2E 02
MUS_HG_ROUTE42                  = 2F 02
MUS_HG_VERMILION                = 30 02
MUS_HG_PEWTER                   = 31 02
MUS_HG_CERULEAN                 = 32 02
MUS_HG_LAVENDER                 = 33 02
MUS_HG_CELADON                  = 34 02
MUS_HG_PALLET                   = 35 02
MUS_HG_CINNABAR                 = 36 02
MUS_HG_ROUTE1                   = 37 02
MUS_HG_ROUTE3                   = 38 02
MUS_HG_ROUTE11                  = 39 02
MUS_HG_ROUTE24                  = 3A 02
MUS_HG_ROUTE26                  = 3B 02
MUS_HG_POKE_CENTER              = 3C 02
MUS_HG_POKE_MART                = 3D 02
MUS_HG_GYM                      = 3E 02
MUS_HG_ELM_LAB                  = 3F 02
MUS_HG_OAK                      = 40 02
MUS_HG_DANCE_THEATER            = 41 02
MUS_HG_GAME_CORNER              = 42 02
MUS_HG_B_TOWER                  = 43 02
MUS_HG_B_TOWER_RECEPTION        = 44 02
MUS_HG_SPROUT_TOWER             = 45 02
MUS_HG_UNION_CAVE               = 46 02
MUS_HG_RUINS_OF_ALPH            = 47 02
MUS_HG_NATIONAL_PARK            = 48 02
MUS_HG_BURNED_TOWER             = 49 02
MUS_HG_BELL_TOWER               = 4A 02
MUS_HG_LIGHTHOUSE               = 4B 02
MUS_HG_TEAM_ROCKET_HQ           = 4C 02
MUS_HG_ICE_PATH                 = 4D 02
MUS_HG_DRAGONS_DEN              = 4E 02
MUS_HG_ROCK_TUNNEL              = 4F 02
MUS_HG_VIRIDIAN_FOREST          = 50 02
MUS_HG_VICTORY_ROAD             = 51 02
MUS_HG_POKEMON_LEAGUE           = 52 02
MUS_HG_FOLLOW_ME_1              = 53 02
MUS_HG_FOLLOW_ME_2              = 54 02
MUS_HG_ENCOUNTER_RIVAL          = 55 02
MUS_HG_RIVAL_EXIT               = 56 02
MUS_HG_BUG_CONTEST_PREP         = 57 02
MUS_HG_BUG_CATCHING_CONTEST     = 58 02
MUS_HG_RADIO_ROCKET             = 59 02
MUS_HG_ROCKET_TAKEOVER          = 5A 02
MUS_HG_MAGNET_TRAIN             = 5B 02
MUS_HG_SS_AQUA                  = 5C 02
MUS_HG_MT_MOON_SQUARE           = 5D 02
MUS_HG_RADIO_JINGLE             = 5E 02
MUS_HG_RADIO_LULLABY            = 5F 02
MUS_HG_RADIO_MARCH              = 60 02
MUS_HG_RADIO_UNOWN              = 61 02
MUS_HG_RADIO_POKE_FLUTE         = 62 02
MUS_HG_RADIO_OAK                = 63 02
MUS_HG_RADIO_BUENA              = 64 02
MUS_HG_EUSINE                   = 65 02
MUS_HG_CLAIR                    = 66 02
MUS_HG_ENCOUNTER_GIRL_1         = 67 02
MUS_HG_ENCOUNTER_BOY_1          = 68 02
MUS_HG_ENCOUNTER_SUSPICIOUS_1   = 69 02
MUS_HG_ENCOUNTER_SAGE           = 6A 02
MUS_HG_ENCOUNTER_KIMONO_GIRL    = 6B 02
MUS_HG_ENCOUNTER_ROCKET         = 6C 02
MUS_HG_ENCOUNTER_GIRL_2         = 6D 02
MUS_HG_ENCOUNTER_BOY_2          = 6E 02
MUS_HG_ENCOUNTER_SUSPICIOUS_2   = 6F 02
MUS_HG_VS_WILD                  = 70 02
MUS_HG_VS_TRAINER               = 71 02
MUS_HG_VS_GYM_LEADER            = 72 02
MUS_HG_VS_RIVAL                 = 73 02
MUS_HG_VS_ROCKET                = 74 02
MUS_HG_VS_SUICUNE               = 75 02
MUS_HG_VS_ENTEI                 = 76 02
MUS_HG_VS_RAIKOU                = 77 02
MUS_HG_VS_CHAMPION              = 78 02
MUS_HG_VS_WILD_KANTO            = 79 02
MUS_HG_VS_TRAINER_KANTO         = 7A 02
MUS_HG_VS_GYM_LEADER_KANTO      = 7B 02
MUS_HG_VICTORY_TRAINER          = 7C 02
MUS_HG_VICTORY_WILD             = 7D 02
MUS_HG_CAUGHT                   = 7E 02
MUS_HG_VICTORY_GYM_LEADER       = 7F 02
MUS_HG_VS_HO_OH                 = 80 02
MUS_HG_VS_LUGIA                 = 81 02
MUS_HG_POKEATHLON_LOBBY         = 82 02
MUS_HG_POKEATHLON_START         = 83 02
MUS_HG_POKEATHLON_BEFORE        = 84 02
MUS_HG_POKEATHLON_EVENT         = 85 02
MUS_HG_POKEATHLON_FINALS        = 86 02
MUS_HG_POKEATHLON_RESULTS       = 87 02
MUS_HG_POKEATHLON_END           = 88 02
MUS_HG_POKEATHLON_WINNER        = 89 02
MUS_HG_B_FACTORY                = 8A 02
MUS_HG_B_HALL                   = 8B 02
MUS_HG_B_ARCADE                 = 8C 02
MUS_HG_B_CASTLE                 = 8D 02
MUS_HG_VS_FRONTIER_BRAIN        = 8E 02
MUS_HG_VICTORY_FRONTIER_BRAIN   = 8F 02
MUS_HG_WFC                      = 90 02
MUS_HG_MYSTERY_GIFT             = 91 02
MUS_HG_WIFI_PLAZA               = 92 02
MUS_HG_WIFI_MINIGAMES           = 93 02
MUS_HG_WIFI_PARADE              = 94 02
MUS_HG_GLOBAL_TERMINAL          = 95 02
MUS_HG_SPIN_TRADE               = 96 02
MUS_HG_GTS                      = 97 02
MUS_HG_ROUTE47                  = 98 02
MUS_HG_SAFARI_ZONE_GATE         = 99 02
MUS_HG_SAFARI_ZONE              = 9A 02
MUS_HG_ETHAN                    = 9B 02
MUS_HG_LYRA                     = 9C 02
MUS_HG_GAME_CORNER_WIN          = 9D 02
MUS_HG_KIMONO_GIRL_DANCE        = 9E 02
MUS_HG_KIMONO_GIRL              = 9F 02
MUS_HG_HO_OH_APPEARS            = A0 02
MUS_HG_LUGIA_APPEARS            = A1 02
MUS_HG_SPIKY_EARED_PICHU        = A2 02
MUS_HG_SINJOU_RUINS             = A3 02
MUS_HG_RADIO_ROUTE101           = A4 02
MUS_HG_RADIO_ROUTE201           = A5 02
MUS_HG_RADIO_TRAINER            = A6 02
MUS_HG_RADIO_VARIETY            = A7 02
MUS_HG_VS_KYOGRE_GROUDON        = A8 02
MUS_HG_POKEWALKER               = A9 02
MUS_HG_VS_ARCEUS                = AA 02
MUS_HG_HEAL                     = AB 02
MUS_HG_LEVEL_UP                 = AC 02
MUS_HG_OBTAIN_ITEM              = AD 02
MUS_HG_OBTAIN_KEY_ITEM          = AE 02
MUS_HG_EVOLVED                  = AF 02
MUS_HG_OBTAIN_BADGE             = B0 02
MUS_HG_OBTAIN_TMHM              = B1 02
MUS_HG_OBTAIN_ACCESSORY         = B2 02
MUS_HG_MOVE_DELETED             = B3 02
MUS_HG_OBTAIN_BERRY             = B4 02
MUS_HG_DEX_RATING_1             = B5 02
MUS_HG_DEX_RATING_2             = B6 02
MUS_HG_DEX_RATING_3             = B7 02
MUS_HG_DEX_RATING_4             = B8 02
MUS_HG_DEX_RATING_5             = B9 02
MUS_HG_DEX_RATING_6             = BA 02
MUS_HG_OBTAIN_EGG               = BB 02
MUS_HG_BUG_CONTEST_1ST_PLACE    = BC 02
MUS_HG_BUG_CONTEST_2ND_PLACE    = BD 02
MUS_HG_BUG_CONTEST_3RD_PLACE    = BE 02
MUS_HG_CARD_FLIP                = BF 02
MUS_HG_CARD_FLIP_GAME_OVER      = C0 02
MUS_HG_POKEGEAR_REGISTERED      = C1 02
MUS_HG_LETS_GO_TOGETHER         = C2 02
MUS_HG_POKEATHLON_READY         = C3 02
MUS_HG_POKEATHLON_1ST_PLACE     = C4 02
MUS_HG_RECEIVE_POKEMON          = C5 02
MUS_HG_OBTAIN_ARCADE_POINTS     = C6 02
MUS_HG_OBTAIN_CASTLE_POINTS     = C7 02
MUS_HG_OBTAIN_B_POINTS          = C8 02
MUS_HG_WIN_MINIGAME             = C9 02

A_BUTTON        = F8 00
B_BUTTON        = F8 01
L_BUTTON        = F8 02
R_BUTTON        = F8 03
START_BUTTON    = F8 04
SELECT_BUTTON   = F8 05
DPAD_UP         = F8 06
DPAD_DOWN       = F8 07
DPAD_LEFT       = F8 08
DPAD_RIGHT      = F8 09
DPAD_UPDOWN    = F8 0A
DPAD_LEFTRIGHT = F8 0B
DPAD_ANY        = F8 0C

UP_ARROW_2    = F9 00
DOWN_ARROW_2  = F9 01
LEFT_ARROW_2  = F9 02
RIGHT_ARROW_2 = F9 03
PLUS          = F9 04
LV_2          = F9 05
PP            = F9 06
ID            = F9 07
NO            = F9 08
UNDERSCORE    = F9 09
CIRCLE_1      = F9 0A
CIRCLE_2      = F9 0B
CIRCLE_3      = F9 0C
CIRCLE_4      = F9 0D
CIRCLE_5      = F9 0E
CIRCLE_6      = F9 0F
CIRCLE_7      = F9 10
CIRCLE_8      = F9 11
CIRCLE_9      = F9 12
LEFT_PAREN    = F9 13
RIGHT_PAREN   = F9 14
CIRCLE_DOT    = F9 15
TRIANGLE      = F9 16
BIG_MULT_X    = F9 17
CIRCLE_HOLLOW = F9 18

EMOJI_UNDERSCORE = F9 D0
EMOJI_PIPE = F9 D1
EMOJI_HIGHBAR = F9 D2
EMOJI_TILDE = F9 D3
EMOJI_LEFT_PAREN = F9 D4
EMOJI_RIGHT_PAREN = F9 D5
EMOJI_UNION = F9 D6 @ ⊂
EMOJI_GREATER_THAN = F9 D7
EMOJI_LEFT_EYE = F9 D8
EMOJI_RIGHT_EYE = F9 D9
EMOJI_AT = F9 DA
EMOJI_SEMICOLON = F9 DB
EMOJI_PLUS = F9 DC
EMOJI_MINUS = F9 DD
EMOJI_EQUALS = F9 DE
EMOJI_SPIRAL = F9 DF
EMOJI_TONGUE = F9 E0
EMOJI_TRIANGLE_OUTLINE = F9 E1
EMOJI_ACUTE = F9 E2
EMOJI_GRAVE = F9 E3
EMOJI_CIRCLE = F9 E4
EMOJI_TRIANGLE = F9 E5
EMOJI_SQUARE = F9 E6
EMOJI_HEART = F9 E7
EMOJI_MOON = F9 E8
EMOJI_NOTE = F9 E9
EMOJI_BALL = F9 EA
EMOJI_BOLT = F9 EB
EMOJI_LEAF = F9 EC
EMOJI_FIRE = F9 ED
EMOJI_WATER = F9 EE
EMOJI_LEFT_FIST = F9 EF
EMOJI_RIGHT_FIST = F9 F0
EMOJI_BIGWHEEL = F9 F1
EMOJI_SMALLWHEEL = F9 F2
EMOJI_SPHERE = F9 F3
EMOJI_IRRITATED = F9 F4
EMOJI_MISCHIEVOUS = F9 F5
EMOJI_HAPPY = F9 F6
EMOJI_ANGRY = F9 F7
EMOJI_SURPRISED = F9 F8
EMOJI_BIGSMILE = F9 F9
EMOJI_EVIL = F9 FA
EMOJI_TIRED = F9 FB
EMOJI_NEUTRAL = F9 FC
EMOJI_SHOCKED = F9 FD
EMOJI_BIGANGER = F9 FE

'\l' = FA @ scroll up window text
'\p' = FB @ new paragraph
'\n' = FE @ new line
